,Unnamed: 0,adult,genre_ids,id,original_language,original_title,overview,popularity,release_date,title,video,vote_average,vote_count,violent_words,peaceful_words,violence_rating,violent,violence_classification
0,0,FALSE,"[28, 12, 878]",11,en,Star Wars,Princess Leia is captured and held hostage by the evil Imperial forces in their effort to take over the galactic Empire. Venturesome Luke Skywalker and dashing captain Han Solo team together with the loveable robot duo R2-D2 and C-3PO to rescue the beautiful princess and restore peace and justice in the Empire.,54.373,5/25/77,Star Wars,FALSE,8.2,12036,0,1,-1,FALSE,violent
11,11,FALSE,"[18, 14, 27, 53]",11586,en,Exorcist II: The Heretic,"Bizarre nightmares plague Regan MacNeil four years after her possession and exorcism. Has the demon returned? And if so, can the combined faith and knowledge of a Vatican investigator and a hypnotic research specialist free her from its grasp?",10.399,6/17/77,Exorcist II: The Heretic,FALSE,4.5,274,0,0,0,FALSE,violent
20,20,FALSE,"[28, 12, 878]",1924,en,Superman,"Mild-mannered Clark Kent works as a reporter at the Daily Planet alongside his crush, Lois Lane. Clark must summon his superhero alter-ego when the nefarious Lex Luthor launches a plan to take over the world.",17.771,12/14/78,Superman,FALSE,7,1971,0,0,0,FALSE,neutral
21,21,FALSE,"[27, 53]",579,en,Jaws 2,Police chief Brody must protect the citizens of Amity after a second monstrous shark begins terrorizing the waters.,17.809,6/16/78,Jaws 2,FALSE,5.9,943,0,0,0,FALSE,violent
22,22,FALSE,[10749],621,en,Grease,"Australian good girl Sandy and greaser Danny fell in love over the summer. But when they unexpectedly discover they're now in the same high school, will they be able to rekindle their romance despite their eccentric friends?",21.116,7/7/78,Grease,FALSE,7.4,4115,0,2,-2,FALSE,peaceful
31,31,FALSE,"[12, 16, 18, 14, 10751]",123,en,The Lord of the Rings,The Fellowship of the Ring embark on a journey to destroy the One Ring and end Sauron's reign over Middle-earth.,10.64,11/15/78,The Lord of the Rings,FALSE,6.5,380,1,0,1,TRUE,neutral
33,33,FALSE,"[28, 18, 27, 53]",10766,en,Damien: Omen II,"Since the sudden and highly suspicious death of his parents, 12-year-old Damien has been in the charge of his wealthy aunt and uncle (Lee Grant and William Holden). Widely feared to be the Antichrist, Damien relentlessly plots to seize control of his uncle's business empire - and the world. Meanwhile, anyone attempting to unravel the secrets of Damien's sinister past or fiendish future meets with a swift and cruel demise.",11.706,6/9/78,Damien: Omen II,FALSE,6.2,294,1,0,1,TRUE,violent
42,42,FALSE,"[12, 9648, 878]",152,en,Star Trek: The Motion Picture,"When a destructive space entity is spotted approaching Earth, Admiral Kirk resumes command of the Starship Enterprise in order to intercept, examine, and hopefully stop it.",14.112,12/6/79,Star Trek: The Motion Picture,FALSE,6.4,887,0,0,0,FALSE,neutral
43,43,FALSE,[18],12102,en,Kramer vs. Kramer,"Ted Kramer is a career man for whom his work comes before his family. His wife Joanna cannot take this anymore, so she decides to leave him. Ted is now faced with the tasks of housekeeping and taking care of himself and their young son Billy.",7.795,12/19/79,Kramer vs. Kramer,FALSE,7.5,1041,0,0,0,FALSE,peaceful
44,44,FALSE,"[27, 878]",348,en,Alien,"During its return to the earth, commercial spaceship Nostromo intercepts a distress signal from a distant planet. When a three-member team of the crew discovers a chamber containing thousands of eggs on the planet, a creature inside one of the eggs attacks an explorer. The entire crew is unaware of the impending nightmare set to descend upon them when the alien parasite planted inside its unfortunate host is birthed.",31.879,5/25/79,Alien,FALSE,8.1,7995,2,0,2,TRUE,violent
45,45,FALSE,"[12, 28, 53, 878]",9659,en,Mad Max,"In a postapocalyptic future, jaded cop Max Rockatansky (Mel Gibson) is ready to retire. But his world is shattered when a malicious gang murders his family as an act of retaliation, forcing a devastated Max to hit the open road seeking vengeance. As he travels the Australian outback's empty stretches of highway, he tours the bloodstained battlegrounds ruled by marauding bikers who feed on violence.",16.298,2/15/80,Mad Max,FALSE,6.7,2221,4,0,4,TRUE,violent
140,140,FALSE,"[28, 12]",87,en,Indiana Jones and the Temple of Doom,"After arriving in India, Indiana Jones is asked by a desperate village to find a mystical stone. He agrees ÌÄå¢ÌâåÛÌâåÒ and stumbles upon a secret cult plotting a terrible plan in the catacombs of an ancient palace.",19.91,5/23/84,Indiana Jones and the Temple of Doom,FALSE,7.2,5170,0,0,0,FALSE,neutral
149,149,FALSE,"[18, 10749]",1788,en,Footloose,"When teenager Ren and his family move from big-city Chicago to a small town in the West, he's in for a real case of culture shock.",9.93,2/17/84,Footloose,FALSE,6.6,1039,0,0,0,FALSE,peaceful
150,150,FALSE,"[28, 878, 53]",218,en,The Terminator,"In the post-apocalyptic future, reigning tyrannical supercomputers teleport a cyborg assassin known as the ""Terminator"" back to 1984 to kill Sarah Connor, whose unborn son is destined to lead insurgents against 21st century mechanical hegemony. Meanwhile, the human-resistance movement dispatches a lone warrior to safeguard Sarah. Can he stop the virtually indestructible killing machine?",29.334,10/26/84,The Terminator,FALSE,7.5,7238,3,0,3,TRUE,violent
173,173,FALSE,"[35, 18]",2108,en,The Breakfast Club,"Five disparate high school students meet in Saturday detention, and discover they have a lot more in common than they thought.",13.178,2/15/85,The Breakfast Club,FALSE,7.8,4682,0,0,0,FALSE,peaceful
185,185,FALSE,"[28, 12, 18, 10749, 10751]",8856,en,The Karate Kid Part II,"Mr. Miyagi and Daniel take a trip to Okinawa to visit Mr. Miyagi's dying father. After arriving Mr. Miyagi finds he still has feelings for an old love. This stirs up trouble with an old rival who he originally left Okinawa to avoid. In the mean time, Daniel encounters a new love and also makes some enemies.",13.564,6/18/86,The Karate Kid Part II,FALSE,6.1,935,0,0,0,FALSE,neutral
190,190,FALSE,[35],9377,en,Ferris Bueller's Day Off,"A high school slacker pretends to be sick to skip school and have an exciting day off alongside his girlfriend and his best buddy through Chicago, while trying to outwit his obsessive school principal and his unconformited sister along the way.",13.398,6/11/86,Ferris Bueller's Day Off,FALSE,7.6,2593,0,0,0,FALSE,peaceful
424,424,FALSE,"[12, 16, 35, 10751]",9487,en,A Bug's Life,"On behalf of ""oppressed bugs everywhere,"" an inventive ant named Flik hires a troupe of warrior bugs to defend his bustling colony from a horde of freeloading grasshoppers led by the evil-minded Hopper.",15.904,11/25/98,A Bug's Life,FALSE,6.9,5322,1,0,1,TRUE,peaceful
426,426,FALSE,"[12, 16, 10751]",10674,en,Mulan,"A tomboyish girl disguises herself as a young man so she can fight with the Imperial Chinese Army against the invading Huns. With help from wise-cracking dragon Mushu, Mulan just might save her country -- and win the heart of handsome Captain Li Shang.",24.062,6/18/98,Mulan,FALSE,7.9,5092,0,0,0,FALSE,neutral
427,427,FALSE,"[35, 14, 10751]",3050,en,Doctor Dolittle,"A successful physician and devoted family man, John Dolittle seems to have the world by the tail, until a long suppressed talent he possessed as a child, the ability to communicate with animals is suddenly reawakened with a vengeance! Now every creature within squawking distance wants the good doctor's advice, unleashing an outrageous chain of events that turns his world upside down!",12.722,6/22/98,Doctor Dolittle,FALSE,5.6,1718,1,0,1,TRUE,peaceful
428,428,FALSE,"[36, 10749, 35]",1934,en,Shakespeare in Love,"Young Shakespeare is forced to stage his latest comedy, ""Romeo and Ethel, the Pirate's Daughter,"" before it's even written. When a lovely noblewoman auditions for a role, they fall into forbidden love -- and his play finds a new life (and title). As their relationship progresses, Shakespeare's comedy soon transforms into tragedy.",8.832,12/11/98,Shakespeare in Love,FALSE,6.9,1809,1,0,1,TRUE,peaceful
429,429,FALSE,"[28, 12, 35, 80, 53]",944,en,Lethal Weapon 4,"In the combustible action franchise's final installment, maverick detectives Martin Riggs and Roger Murtaugh square off against Asian mobster Wah Sing Ku, who's up to his neck in slave trading and counterfeit currency. With help from gumshoe Leo Getz and smart-aleck rookie cop Lee Butters, Riggs and Murtaugh aim to take down Ku and his gang.",15.911,7/10/98,Lethal Weapon 4,FALSE,6.5,1394,0,0,0,FALSE,violent
442,442,FALSE,"[16, 35, 10751]",863,en,Toy Story 2,"Andy heads off to Cowboy Camp, leaving his toys to their own devices. Things shift into high gear when an obsessive toy collector named Al McWhiggen, owner of Al's Toy Barn kidnaps Woody. Andy's toys mount a daring rescue mission, Buzz Lightyear meets his match and Woody has to decide where he and his heart truly belong.",25.515,11/24/99,Toy Story 2,FALSE,7.5,8277,0,0,0,FALSE,peaceful
443,443,FALSE,"[28, 878]",603,en,The Matrix,"Set in the 22nd century, The Matrix tells the story of a computer hacker who joins a group of underground insurgents fighting the vast and powerful computers who now rule the earth.",39.518,3/30/99,The Matrix,FALSE,8.1,15226,0,0,0,FALSE,violent
444,444,FALSE,"[12, 16, 18, 10751]",37135,en,Tarzan,"Tarzan was a small orphan who was raised by an ape named Kala since he was a child. He believed that this was his family, but on an expedition Jane Porter is rescued by Tarzan. He then finds out that he's human. Now Tarzan must make the decision as to which family he should belong to...",20.207,6/18/99,Tarzan,FALSE,7.4,3883,0,0,0,FALSE,neutral
453,453,FALSE,"[27, 9648]",2667,en,The Blair Witch Project,"In October of 1994 three student filmmakers disappeared in the woods near Burkittsville, Maryland, while shooting a documentary. A year later their footage was found.",12.054,7/14/99,The Blair Witch Project,FALSE,6.3,2382,1,0,1,TRUE,neutral
454,454,FALSE,"[35, 10749]",2105,en,American Pie,"At a high-school party, four friends find that losing their collective virginity isn't as easy as they had thought. But they still believe that they need to do so before college. To motivate themselves, they enter a pact to all ""score."" by their senior prom.",24.92,7/9/99,American Pie,FALSE,6.5,4579,0,0,0,FALSE,neutral
461,461,FALSE,"[28, 12, 18]",98,en,Gladiator,"In the year 180, the death of emperor Marcus Aurelius throws the Roman Empire into chaos.  Maximus is one of the Roman army's most capable and trusted generals and a key advisor to the emperor.  As Marcus' devious son Commodus ascends to the throne, Maximus is set to be executed.  He escapes, but is captured by slave traders.  Renamed Spaniard and forced to become a gladiator, Maximus must battle to the death with other men for the amusement of paying audiences.",21.015,5/1/00,Gladiator,FALSE,8.1,10278,2,0,2,TRUE,violent
462,462,FALSE,"[12, 18]",8358,en,Cast Away,"Chuck, a top international manager for FedEx, and Kelly, a Ph.D. student, are in love and heading towards marriage. Then Chuck's plane to Malaysia ditches at sea during a terrible storm. He's the only survivor, and he washes up on a tiny island with nothing but some flotsam and jetsam from the aircraft's cargo.",18.775,12/22/00,Cast Away,FALSE,7.6,6429,1,0,1,TRUE,peaceful
463,463,FALSE,"[35, 10749]",3981,en,What Women Want,"Advertising executive Nick Marshall is as cocky as they come, but what happens to a chauvinistic guy when he can suddenly hear what women are thinking? Nick gets passed over for a promotion, but after an accident enables him to hear women's thoughts, he puts his newfound talent to work against Darcy, his new boss, who seems to be infatuated with him.",12.49,12/15/00,What Women Want,FALSE,6.3,2162,0,0,0,FALSE,peaceful
465,465,FALSE,"[10751, 35, 14]",8871,en,How the Grinch Stole Christmas,"Inside a snowflake exists the magical land of Whoville. In Whoville, live the Whos, an almost mutated sort of Munchkin-like people. All the Whos love Christmas, yet just outside of their beloved Whoville lives the Grinch. The Grinch is a nasty creature that hates Christmas, and plots to steal it away from the Whos, whom he equally abhors. Yet a small child, Cindy Lou Who, decides to try befriending the Grinch.",15.887,11/17/00,How the Grinch Stole Christmas,FALSE,6.6,3823,0,0,0,FALSE,peaceful
466,466,FALSE,"[35, 10749]",1597,en,Meet the Parents,"Greg Focker is ready to marry his girlfriend, Pam, but before he pops the question, he must win over her formidable father, humorless former CIA agent Jack Byrnes, at the wedding of Pam's sister. As Greg bends over backward to make a good impression, his visit to the Byrnes home turns into a hilarious series of disasters, and everything that can go wrong does, all under Jack's critical, hawklike gaze.",11.166,10/6/00,Meet the Parents,FALSE,6.6,3493,1,0,1,TRUE,
1686,104,FALSE,"[35, 80]",9699,en,Trail of the Pink Panther,"The Pink Panther diamond is stolen once again from Lugash and the authorities call in Chief Inspector Clouseau from France. His plane disappears en-route. This time, famous French TV reporter Marie Jouvet sets out to solve the mystery and starts to interview everybody connected to Clouseau.",8.466,12/17/82,Trail of the Pink Panther,FALSE,5.2,121,0,0,0,FALSE,peaceful
2753,398,FALSE,"[878, 53]",10547,en,The Arrival,"Zane Ziminski is an astrophysicist who receives a message that seems to have extraterrestrial origins. Eerily soon after his discovery, Zane is fired. He then embarks on a search to determine the origins of the transmission that leads him into a Hitchcockian labyrinth of paranoia and intrigue.",13.292,5/31/96,The Arrival,FALSE,6.2,340,0,0,0,FALSE,peaceful
2894,539,FALSE,"[10751, 35]",18736,en,The Lizzie McGuire Movie,"Lizzie McGuire has graduated from middle school and takes a trip to Rome, Italy with her class. And what was supposed to be only a normal trip, becomes a teenager's dream come true.",11.156,5/2/03,The Lizzie McGuire Movie,FALSE,6,688,0,0,0,FALSE,peaceful
2895,540,FALSE,"[878, 53]",1954,en,The Butterfly Effect,"A young man struggles to access sublimated childhood memories. He finds a technique that allows him to travel back into the past, to occupy his childhood body and change history. However, he soon finds that every change he makes has unexpected consequences.",15.415,1/23/04,The Butterfly Effect,FALSE,7.5,4058,0,0,0,FALSE,neutral
2896,541,FALSE,"[35, 18, 10751, 10749]",11130,en,The Princess Diaries 2: Royal Engagement,"Mia Thermopolis is now a college graduate and on her way to Genovia to take up her duties as princess. Her best friend Lilly also joins her for the summer. Mia continues her 'princess lessons'- riding horses side-saddle, archery, and other royal. But her complicated life is turned upside down once again when she not only learns that she is to take the crown as queen earlier than expected...",14.396,8/6/04,The Princess Diaries 2: Royal Engagement,FALSE,6.5,1848,0,0,0,FALSE,peaceful
2897,542,FALSE,"[9648, 53]",1586,en,Secret Window,"Mort Rainey, a writer just emerging from a painful divorce with his ex-wife, is stalked at his remote lake house by a psychotic stranger and would-be scribe who claims Rainey swiped his best story idea. But as Rainey endeavors to prove his innocence, he begins to question his own sanity.",12.562,3/12/04,Secret Window,FALSE,6.5,2032,0,0,0,FALSE,neutral
2911,556,FALSE,"[18, 36]",14292,en,Miracle,"When college coach Herb Brooks is hired to helm the 1980 U.S. men's Olympic hockey team, he brings a unique and brash style to the ice. After assembling a team of hot-headed college all-stars, who are humiliated in an early match, Brooks unites his squad against a common foe: the heavily-favored Soviet team.",10.344,2/6/04,Miracle,FALSE,7.1,294,0,0,0,FALSE,peaceful
2922,567,FALSE,"[80, 18, 53]",1830,en,Lord of War,"Yuri Orlov is a globetrotting arms dealer and, through some of the deadliest war zones, he struggles to stay one step ahead of a relentless Interpol agent, his business rivals and even some of his customers who include many of the worldÌÄå¢ÌâåÛÌâåªs most notorious dictators. Finally, he must also face his own conscience.",14.042,9/16/05,Lord of War,FALSE,7.2,2413,1,0,1,TRUE,violent
2929,574,FALSE,"[35, 10751, 12, 14, 10749]",11451,en,Herbie Fully Loaded,"Maggie Peyton, the new owner of Number 53 - the free-wheelin' Volkswagen bug with a mind of its own - puts the car through its paces on the road to becoming a NASCAR competitor.",11.129,6/22/05,Herbie Fully Loaded,FALSE,5.3,1269,0,0,0,FALSE,peaceful
2930,575,FALSE,"[12, 35, 14, 878, 10751]",6795,en,Zathura: A Space Adventure,"After their father is called into work, two young boys, Walter and Danny, are left in the care of their teenage sister, Lisa, and told they must stay inside. Walter and Danny, who anticipate a boring day, are shocked when they begin playing Zathura, a space-themed board game, which they realize has mystical powers when their house is shot into space. With the help of an astronaut, the boys attempt to return home.",11.278,11/11/05,Zathura: A Space Adventure,FALSE,6.3,1733,1,0,1,TRUE,neutral
2941,586,FALSE,"[35, 10751]",9353,en,Nacho Libre,"Nacho Libre is loosely based on the story of Fray Tormenta (""Friar Storm""), aka Rev. Sergio Gutierrez Benitez, a real-life Mexican Catholic priest who had a 23-year career as a masked luchador. He competed in order to support the orphanage he directed.",7.801,6/16/06,Nacho Libre,FALSE,5.6,666,0,1,-1,FALSE,neutral
2945,590,FALSE,"[28, 35, 99]",12094,en,Jackass Number Two,"Jackass Number Two is a compilation of various stunts, pranks and skits, and essentially has no plot. Chris Pontius, Johnny Knoxville, Steve-O, Bam Margera, and the whole crew return to the screen to raise the stakes higher than ever before.",7.935,9/22/06,Jackass Number Two,FALSE,6.3,538,0,0,0,FALSE,neutral
2968,613,FALSE,[18],7979,en,The Kite Runner,"After spending years in California, Amir returns to his homeland in Afghanistan to help his old friend Hassan, whose son is in trouble.",6.467,10/14/07,The Kite Runner,FALSE,7.3,725,0,0,0,FALSE,peaceful
2977,622,FALSE,"[12, 16, 10751]",10199,en,The Tale of Despereaux,"Once upon a time... in the far away kingdom of Dor... lived a brave and virtuous mouse with comically oversized ears who dreamt of becoming a knight. Banished from his home for having such lofty ambitions, Despereaux sets off on an amazing adventure with his good-hearted rat friend Roscuro, who leads him, at long last, on a very noble quest to rescue an endangered princess and save an entire kingdom from darkness.",8.622,12/19/08,The Tale of Despereaux,FALSE,5.8,501,0,0,0,FALSE,neutral
2978,623,FALSE,"[28, 18, 80, 53]",13051,en,Max Payne,"Coming together to solve a series of murders in New York City are a DEA agent whose family was slain as part of a conspiracy and an assassin out to avenge her sister's death. The duo will be hunted by the police, the mob, and a ruthless corporation.",11.079,10/16/08,Max Payne,FALSE,5.2,1099,5,0,5,TRUE,violent
3006,651,FALSE,"[35, 9648]",15159,en,The Pink Panther 2,"When legendary treasures from around the world are stolen, including the priceless Pink Panther Diamond, Chief Inspector Dreyfus is forced to assign Inspector Clouseau to a team of international detectives and experts charged with catching the thief and retrieving the stolen artifacts.",9.943,2/6/09,The Pink Panther 2,FALSE,5.7,607,0,0,0,FALSE,peaceful
3012,657,FALSE,"[27, 9648]",22804,en,Saw VI,"Special Agent Strahm is dead, and Detective Hoffman has emerged as the unchallenged successor to Jigsaw's legacy. However, when the FBI draws closer to Hoffman, he is forced to set a game into motion, and Jigsaw's grand scheme is finally understood.",13.035,10/23/09,Saw VI,FALSE,6.2,1645,0,0,0,FALSE,violent
3042,687,FALSE,"[18, 10749]",55787,en,Water for Elephants,"In this captivating Depression-era melodrama, impetuous veterinary student Jacob Jankowski joins a celebrated circus as an animal caretaker but faces a wrenching dilemma when he's transfixed by angelic married performer Marlena.",9.136,4/22/11,Water for Elephants,FALSE,6.9,1691,0,0,0,FALSE,peaceful
3043,688,FALSE,[18],60308,en,Moneyball,"The story of Oakland Athletics general manager Billy Beane's successful attempt to put together a baseball team on a budget, by employing computer-generated analysis to draft his players.",14.566,9/22/11,Moneyball,FALSE,7.2,2377,0,0,0,FALSE,peaceful
3046,691,FALSE,"[99, 10402, 10751]",54518,en,Justin Bieber: Never Say Never,"Tells the story of Justin Bieber, the kid from Canada with the hair, the smile and the voice: It chronicles his unprecedented rise to fame, all the way from busking in the streets of Stratford, Canada to putting videos on YouTube to selling out Madison Square Garden in New York as the headline act during the My World Tour from 2010. It features Usher, Scooter Braun, Ludacris, Sean Kingston, Antonio ""L.A."" Reid, Boyz II Men, Miley Cyrus, Jaden Smith, Justin's family members and parts of his crew and huge fanbase in a mix of interviews and guest performances. It was released in 3D in theaters all around the world and is the highest grossing concert movie of all time, beating the previous record held by Michael Jackson's This Is It from 2009.",6.653,2/11/11,Justin Bieber: Never Say Never,FALSE,5.1,249,0,2,-2,FALSE,peaceful
3089,734,FALSE,"[27, 878, 53]",158015,en,The Purge,"Given the country's overcrowded prisons, the U.S. government begins to allow 12-hour periods of time in which all illegal activity is legal. During one of these free-for-alls, a family must protect themselves from a home invasion.",26.382,6/6/13,The Purge,FALSE,6.2,5128,0,0,0,FALSE,violent
3126,771,FALSE,"[18, 9648, 10749]",286565,en,Paper Towns,"Quentin Jacobsen has spent a lifetime loving the magnificently adventurous Margo Roth Spiegelman from afar. So when she cracks open a window and climbs back into his life-dressed like a ninja and summoning him for an ingenious campaign of revenge-he follows. After their all-nighter ends and a new day breaks, Q arrives at school to discover that Margo, always an enigma, has now become a mystery. But Q soon learns that there are clues-and they're for him. Urged down a disconnected path, the closer he gets, the less Q sees of the girl he thought he knew.",9.496,7/24/15,Paper Towns,FALSE,6,3742,0,0,0,FALSE,peaceful
3127,772,FALSE,"[28, 80, 53]",273481,en,Sicario,An idealistic FBI agent is enlisted by a government task force to aid in the escalating war against drugs at the border area between the U.S. and Mexico.,27.73,9/18/15,Sicario,FALSE,7.3,4693,1,0,1,TRUE,violent
3144,789,FALSE,"[28, 27, 53]",316727,en,The Purge: Election Year,"Two years after choosing not to kill the man who killed his son, former police sergeant Leo Barnes has become head of security for Senator Charlene Roan, the front runner in the next Presidential election due to her vow to eliminate the Purge. On the night of what should be the final Purge, a betrayal from within the government forces Barnes and Roan out onto the street where they must fight to survive the night.",19.905,7/1/16,The Purge: Election Year,FALSE,6.3,3079,2,0,2,TRUE,violent
3154,799,FALSE,[35],291870,en,Dirty Grandpa,"Jason Kelly is one week away from marrying his boss's uber-controlling daughter, putting him on the fast track for a partnership at the law firm. However, when the straight-laced Jason is tricked into driving his foul-mouthed grandfather, Dick, to Daytona for spring break, his pending nuptials are suddenly in jeopardy. Between riotous frat parties, bar fights, and an epic night of karaoke, Dick is on a quest to live his life to the fullest and bring Jason along for the ride.",14.616,1/22/16,Dirty Grandpa,FALSE,5.8,2799,0,0,0,FALSE,neutral